index,title,description,source,date,open_coding_topic,sentiment,sentimental_words
241,Former B.C. premier praises PM Carney's 'lightning fast' action on major projects,,ctvnews.ca,2025-11-13T12:00:00-05:00,National,Positive,"praises"
345,Carney to speak with Trump in Washington at FIFA World Cup draw,"Prime Minister Mark Carney said he plans to visit Washington next week to attend the FIFA World Cup draw,and expects to speak with U.S. President Donald Trump ...",cbc.ca,2025-11-26T21:56:22.000000Z,International,Neutral,
57,Carney says Canada upholding values but drops talk of ‘feminist foreign policy’,Carney's comments at the G20 summit in Johannesburg illustrate a shift in rhetoric from the government of Justin Trudeau.,thestar.com,2025-11-24T17:02:23-05:00,International,Neutral,
471,Carney government to table first budget on Nov. 4,The Liberal government will table the federal budget — the first under Prime Minister Mark Carney — in early November.,cbc.ca,2025-09-16T19:53:25.000000Z,National,Neutral,
497,'Positive energy' is back after PM Mark Carney talks megaprojects in N.L.,Prime Minister Mark Carney’s visit to St. John’s was about more than tariffs. He also discussed two energy megaprojects in a private meeting with Premier Jo...,cbc.ca,2025-09-09T14:56:37.000000Z,National,Positive,"positive energy"
111,Carney faces crucial confidence vote as MPs set to vote on budget - National,"Prime Minister Mark Carney faces a crucial confidence vote on his budget on Monday,but it's not known yet if Canada will be heading to another election or not.",globalnews.ca,2025-11-17T09:00:23.000000Z,National,Neutral,
291,Good Vibes in Trump Trade Talks Haven’t Shielded Canada From Chaos,"The country’s new prime minister,Mark Carney,has been called the “Trump whisperer,” and negotiations have been cordial and professional. But it’s been a wild ride.",nytimes.com,2025-07-11T11:43:52Z,National,Positive,"Good Vibes,cordial,professional"
434,Carney makes pre-budget announcement in Ottawa,Prime Minister Mark Carney and Finance Minister François-Philippe Champagne make an affordability announcement and take questions from journalists in suburban ...,cbc.ca,2025-10-10T14:00:00.000000Z,National,Neutral,
343,Trump Tones Down His Rhetoric About Canada After Call With Its Leader,"The president and Canada’s new prime minister,Mark Carney,spoke for the first time on Friday and promised to begin negotiations on trade.",nytimes.com,2025-03-28T20:44:38Z,International,Neutral,
148,Carney says Canada and India can be ‘reliable trading partners’,The prime ministers of Canada and India have agreed to launch negotiations towards a new Comprehensive Economic Partnership Agreement (CEPA). ...,cp24.com,2025-11-23T19:04:41.000000Z,International,Positive,"towards a new Comprehensive Economic Partnership Agreement"
88,Federal budget takes a step back from promised Canada Public Transit Fund: CUTA,"Prime Minister Mark Carney’s 2025 budget for the Government of Canada is drawing criticism from the public transit sector after previously dedicated public transit funding was folded into a larger infrastructure pool,raising concerns over predictability and the ability to move forward with public transit expansion projects across the country.",dailyhive.com,2025-11-18T12:00:00-05:00,National,Negative,"concerns"
225,Carney visits Riderville ahead of 2025 Grey Cup,"On the eve of the most important game in Canadian football,fans across the country ...",ctvnews.ca,2025-11-16T12:00:00-05:00,Public Relations,Neutral,
155,"Carney to sign investment agreement,launch Canada-United Arab Emirates trade talks: official","ABU DHABI – Prime Minister Mark Carney intends to sign a long-negotiated investment agreement,as well as begin launching talks ...",cp24.com,2025-11-19T19:04:41.000000Z,International,Positive,"sign a long-negotiated investment agreement"
391,Carney holds news conference day after tabling budget,Prime Minister Mark Carney takes questions from journalists the day after presenting his fiscal plan.,cbc.ca,2025-11-05T13:25:00.000000Z,National,Neutral,
152,Canada cuts back spending on fighting infectious diseases at G20 in South Africa,Prime Minister Mark Carney has made Canada’s first-ever cut to funding for a major program for fighting infectious diseases in ...,cp24.com,2025-11-21T19:04:41.000000Z,International,Negative,"Canada’s first-ever cut to funding for a major program for fighting infectious diseases"
259,Carney Says He Apologized to Trump Over Ad Reviving Reagan’s Tariff Criticism,The Canadian prime minister also said that he had asked the province of Ontario not to air the ad that later prompted the president to end trade talks.,nytimes.com,2025-11-01T08:43:09Z,International,Negative,"Apologized"
