	title	description	source	date	open_coding_topic	sentiment	sentimental_words
213	Liberal strategist says ‘last minute negotiating’ pushed through first Carney budget	Liberal strategist Sabrina Grover joins Alberta Primetime host Michael Higgins to discuss the make or ...	ctvnews.ca	2025-11-18T12:00:00-05:00	National	Neutral	
214	PM Carney and King Carl XVI Gustaf discuss ‘strategic partnership’ during visit		ctvnews.ca	2025-11-18T12:00:00-05:00	International	Neutral	
215	‘Gas-for-wine’: South Africa seeks deal to boost trade, investment with Canada	OTTAWA — As Prime Minister Mark Carney heads to Johannesburg for the G20 summit, Canada ...	ctvnews.ca	2025-11-18T12:00:00-05:00	International	Neutral	
216	Minority Liberals narrowly survive high-stakes confidence vote, fending off holiday election	Prime Minister Mark Carney’s minority Liberal government narrowly survived its third confidence vote in as ...	ctvnews.ca	2025-11-17T12:00:00-05:00	National	Neutral	
217	Carney government gets votes to pass budget		ctvnews.ca	2025-11-17T12:00:00-05:00	National	Positive	gets votes
218	May says PM Carney’s 'firm commitment and goodwill' prompted her to say yes to the ...		ctvnews.ca	2025-11-17T12:00:00-05:00	National	Positive	firm commitment and goodwill
219	NDP strategist says PM Carney lacked 'a sense of urgency' in selling budget to Canadians		ctvnews.ca	2025-11-17T12:00:00-05:00Z	National	Negative	Lacked a sense of urgency
220	Carney honours Riel at Winnipeg ceremony		ctvnews.ca	2025-11-17T12:00:00-05:00Z	Public Relations	Neutral	
221	PM Carney in Manitoba, fans celebrate the Grey Cup: CTV Your Morning Winnipeg News		ctvnews.ca	2025-11-17T12:00:00-05:00	Public Relations	Neutral	
222	PM Carney booed during coin toss at 2025 Grey Cup in Winnipeg		ctvnews.ca	2025-11-17T12:00:00-05:00	Public Relations	Negative	booed
223	Prime Minister Mark Carney met with cheers and boos at 112th Grey Cup game	WINNIPEG — Prime Minister Mark Carney was on hand in Winnipeg for the 112th Grey ...	ctvnews.ca	2025-11-16T12:00:00-05:00	Public Relations	Negative	met with cheers and boos
224	Prime Minister Mark Carney in Winnipeg		ctvnews.ca	2025-11-16T12:00:00-05:00	Public Relations	Neutral	
225	Carney visits Riderville ahead of 2025 Grey Cup	On the eve of the most important game in Canadian football,fans across the country ...	ctvnews.ca	2025-11-16T12:00:00-05:00	Public Relations	Neutral	
226	Carney visits Grey Cup festival in Winnipeg		ctvnews.ca	2025-11-16T12:00:00-05:00	Public Relations	Neutral	
227	Gun control group warns of Liberal ‘inaction’ ahead of Polytechnique anniversary	OTTAWA — A well-known gun control group is telling Prime Minister Mark Carney it would ...	ctvnews.ca	2025-11-15T12:00:00-05:00	National	Negative	warns of Liberal ‘inaction’
228	Carney in Winnipeg on Grey Cup weekend		ctvnews.ca	2025-11-14T12:00:00-05:00	Public Relations	Neutral	
229	CTV National News: Criticism surfaces following PM Carney’s major projects reveal		ctvnews.ca	2025-11-14T12:00:00-05:00	National	Negative	Criticism surfaces
230	Mark Carney attends launch of new branch of Montreal-area light rail network	The northwest branch of a light rail project in the Montreal area was officially inaugurated ...	ctvnews.ca	2025-11-14T12:00:00-05:00	Public Relations	Positive	inaugurated
231	Carney inaugurates the new REM line in Montreal		ctvnews.ca	2025-11-14T12:00:00-05:00	Public Relations	Positive	inaugurates
232	Excitement as Crawford Nickel Project put on the fast track by the federal government	After much speculation, Prime Minister Mark Carney confirmed Thursday that Canada Nickel’s Crawford Nickel Project ...	ctvnews.ca	2025-11-14T12:00:00-05:00	National	Positive	Excitement
233	Pipeline not part of Carney's project announcements		ctvnews.ca	2025-11-14T12:00:00-05:00	National	Neutral	
234	‘Brace for impact:’ B.C. town prepares for life with one of Carney’s major projects	TERRACE, B.C. -- In the heart of LNG and mining investment territory, Terrace B.C., Prime ...	ctvnews.ca	2025-11-14T12:00:00-05:00	National	Negative	Brace for impact, prepares for life with one of Carney’s major projects
235	Gas price gap between Quebec and the rest of Canada is widening after carbon tax ...	Since Mark Carney’s Liberal government cut the consumer carbon tax,prices at the pump dropped ...	ctvnews.ca	2025-11-14T12:00:00-05:00	National	Neutral	
236	New major projects list has some Indigenous buy-in, Carney says OKs still needed	OTTAWA — After an initial round of referrals to the new Major Projects Office that ...	ctvnews.ca	2025-11-14T12:00:00-05:00	National	Positive	some Indigenous buy-in
237	CTV National News: Alberta Premier Smith embraces PM Carney’s new nation-building investment		ctvnews.ca	2025-11-13T12:00:00-05:00	National	Positive	embraces,nation-building
238	CTV National News: B.C. communities react to PM Carney’s nation-building projects		ctvnews.ca	2025-11-13T12:00:00-05:00	National	Neutral	
239	CTV National News: PM Carney announces second round of nation-building projects		ctvnews.ca	2025-11-13T12:00:00-05:00	National	Neutral	
240	Alberta’s Smith supportive of new major projects, says pipeline negotiation ongoing	CALGARY — Alberta Premier Danielle Smith says shes on board with Prime Minister Mark Carney's ...	ctvnews.ca	2025-11-13T12:00:00-05:00	National	Positive	Support
241	Former B.C. premier praises PM Carney's 'lightning fast' action on major projects		ctvnews.ca	2025-11-13T12:00:00-05:00	National	Positive	praises
242	Carney announces next of nation-building projects: A look at what made the list	Three critical mineral extraction projects, a nickel mine in Ontario and a transmission line on ...	ctvnews.ca	2025-11-13T12:00:00-05:00	National	Neutral	
243	B.C. power line and Ksi Lisims LNG added to federal government’s major-projects list	With a buzzing electrical substation in Terrace, B.C., as his backdrop, Prime Minister Mark Carney ...	ctvnews.ca	2025-11-13T12:00:00-05:00	National	Positive	With a buzzing electrical substation in Terrace, B.C., as his backdrop,
244	Major projects announcement in B.C: What is Ksi Lisims LNG?	The Ksi Lisims LNG facility in northern British Columbia and the North Coast Transmission Line ...	ctvnews.ca	2025-11-13T12:00:00-05:00	National	Neutral	
245	Prime Minster Mark Carney outlines initiatives in second wave of major projects		ctvnews.ca	2025-11-13T12:00:00-05:00	National	Neutral	
246	PM Carney: 'The world wants Canada as the reliable supplier of critical minerals'		ctvnews.ca	2025-11-13T12:00:00-05:00	International	Neutral	
247	PM Mark Carney reiterates desire for Canada to become an ‘energy superpower’		ctvnews.ca	2025-11-13T12:00:00-05:00	National	Neutral	
248	PM Carney on next phase of major projects: 'Strengthening Canada’s autonomy and resilience'		ctvnews.ca	2025-11-13T12:00:00-05:00	National	Neutral	
249	New Brunswick’s Sisson Mine added to Carney’s list of nation-building projects	There’s tepid reaction trickling in as residents and organizations in the communities near the Sisson ...	ctvnews.ca	2025-11-13T12:00:00-05:00	National	Negative	tepid reaction
250	Carney to release details of priority projects		ctvnews.ca	2025-11-13T12:00:00-05:00	National	Neutral	
251	No Alberta-B.C. pipeline on Carney’s priorities, but Smith says talks are continuing	Premier Danielle Smith says she’s supportive of the updated list of nation-building projects announced by ...	ctvnews.ca	2025-11-13T12:00:00-05:00	National	Positive	supportive of the updated list of nation-building projects
252	Carney’s 1st budget wins support for infrastructure, immigration plans: poll	OTTAWA — Prime Minister Mark Carney secured broad support from across party lines and provincial ...	ctvnews.ca	2025-11-13T12:00:00-05:00Z	National	Positive	Broad support
253	Still many years before Prime Minister Carney’s major projects come to fruition: McLaughlin		ctvnews.ca	2025-11-12T12:00:00-05:00	National	Negative	still many years
